meal_name,items,carbs,protein,calories,fats
Meal 1,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Milk (Cow),",53.4,31.2,512,19.9
Meal 2,"Chicken Curry,Boiled Rice,Brown bread(1),Milk (Cow),",94.4,41.2,546,23.8
Meal 3,"Chicken Curry,Boiled Rice,Paratha(1),Milk (Cow),",100.4,38.2,568,25.5
Meal 4,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Milk (Cow),",68.4,34.2,582,20.3
Meal 5,"Chicken Curry,Boiled Rice,Brown bread(2),Milk (Cow),",150.4,54.2,650,28.1
Meal 6,"Chicken Curry,Boiled Rice,Paratha(2),Milk (Cow),",162.4,48.2,694,31.5
Meal 7,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Milk (Cow),",83.4,37.2,652,20.7
Meal 8,"Chicken Curry,Boiled Rice,Brown bread(3),Milk (Cow),",206.4,67.2,754,32.4
Meal 9,"Chicken Curry,Boiled Rice,Paratha(3),Milk (Cow),",224.4,58.2,820,37.5
Meal 10,"Chicken Curry,Boiled Rice,Milk (Cow),",38.4,28.2,442,19.5
Meal 11,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Milk (Buffalo),",54,32.3,562,22.3
Meal 12,"Chicken Curry,Boiled Rice,Brown bread(1),Milk (Buffalo),",95,42.3,596,26.2
Meal 13,"Chicken Curry,Boiled Rice,Paratha(1),Milk (Buffalo),",101,39.3,618,27.9
Meal 14,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Milk (Buffalo),",69,35.3,632,22.7
Meal 15,"Chicken Curry,Boiled Rice,Brown bread(2),Milk (Buffalo),",151,55.3,700,30.5
Meal 16,"Chicken Curry,Boiled Rice,Paratha(2),Milk (Buffalo),",163,49.3,744,33.9
Meal 17,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Milk (Buffalo),",84,38.3,702,23.1
Meal 18,"Chicken Curry,Boiled Rice,Brown bread(3),Milk (Buffalo),",207,68.3,804,34.8
Meal 19,"Chicken Curry,Boiled Rice,Paratha(3),Milk (Buffalo),",225,59.3,870,39.9
Meal 20,"Chicken Curry,Boiled Rice,Milk (Buffalo),",39,29.3,492,21.9
